,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
26,1,0.554184854,0.082993388,0.074891172,0.756847024,0,0.652127326,0.078169771,0.454329014,0.63317591,0.354276001,5,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA
27,0,0.068079062,0.013304177,0.005185819,0.246255532,0.009403871,0.184464484,0.031428043,0.152575761,0.23781696,0.086126998,5,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
28,1,0.489441991,0.180676669,0.069845133,0.638568223,0.146436065,0.739241064,0.149323374,0.705833912,0.863729417,0.532015204,5,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
29,0,0.046940621,0.015128749,0.00776962,0.180616647,0.002650145,0.143074945,0.053310141,0.205936238,0.374369591,0.053239852,5,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
30,1,0.554677367,0.263631433,0.131595016,0.649119437,0.033195257,0.55696851,0.181167528,0.658267796,0.775017798,0.350882143,5,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
31,0,0.061127301,0.001913862,0.003936128,0.147794455,0.002989738,0.16252324,0.041729681,0.205100492,0.453699082,0.06541457,5,State,All,All Households,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
32,1,0.577867508,0.065267339,0.076044962,0.51376152,0.055446181,0.666656911,0.178641483,0.77985698,0.87547642,0.537838042,5,State,All,All Households,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
33,0,0.025462002,0.011945958,0.004298366,0.112611011,0.00562093,0.210221007,0.080292374,0.211322874,0.268886179,0.062027175,5,State,All,All Households,state,99,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
34,1,0.499680966,0.217092872,0.04278437,0.548226893,0.036110178,0.771830261,0.373206705,0.826748013,0.816877723,0.384671479,5,State,All,All Households,state,99,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
35,0,0.063505724,0.013705879,0.006178698,0.206148714,0.025876941,0.326225579,0.1266343,0.4393408,0.563199341,0.090428635,5,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
36,1,0.537164569,0.182756916,0.062006608,0.635504782,0.143171772,0.71958226,0.311684251,0.880357087,0.940226316,0.410753042,5,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
37,0,0.076384328,0.007524549,0.004202282,0.193837628,0.006041539,0.206632629,0.060232822,0.325372934,0.14946419,0.067006521,5,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA
38,1,0.595391512,0.109526835,0.069640957,0.580175817,0.080766387,0.761195481,0.14166525,0.74522239,0.699812412,0.48732245,5,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA
39,0,0.049101006,0.001254858,0.00128755,0.117821224,0.003101655,0.012977202,0.050975721,0.160993144,0.271323502,0.036754835,5,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA
40,1,0.65220201,0.034519382,0.028507182,0.410992473,0.18202807,0.239747643,0.366953552,0.643463552,0.859163344,0.756205976,5,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA
41,0,0.023915838,0.012030132,0.006085939,0.106910832,0.004289884,0.55293864,0.126116723,0.546627283,0.214582115,0.029202064,5,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA
42,1,0.442125231,0.216718301,0.056065369,0.581811607,0.01568746,0.895252585,0.408858895,0.871860087,0.518998981,0.138749242,5,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA
43,0,0.040903252,0.002284065,0.001672613,0.172812507,0.003414084,0.002106663,0.068304904,0.10597454,0.318664163,0.020586289,5,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA
44,1,0.30746752,0.453309804,0,0.852680981,0,0,0.244872436,0.539537132,0.694009244,0.244872436,5,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA
45,0,0.061299764,0.014134318,0.00614904,0.193480209,0.008389208,0.270816177,0.151142731,0.445275784,0.492935359,0.10975036,5,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA
46,1,0.534736514,0.162451729,0.060647104,0.538193405,0.053021565,0.693575501,0.418031365,0.88451761,0.91840744,0.496263146,5,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA
47,0,0.058169961,0.008077961,0.003459027,0.217327312,0.012751156,0.249349788,0.069105715,0.189824224,0.136382118,0.08777348,5,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
48,1,0.558633149,0.101149417,0.056746475,0.562419236,0.158710629,0.708908141,0.304109246,0.741192341,0.716618896,0.593397021,5,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
49,0,0.025925841,0.009091477,0.007177602,0.099763393,0.014210597,0.361986905,0.224540725,0.735331774,0.237277359,0.102950476,5,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
50,1,0.48028174,0.090321645,0.076134741,0.530204415,0.090824448,0.541630745,0.620325208,0.961529374,0.787643611,0.553059578,5,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
51,0,0.041525636,0.011000655,0.006083869,0.168534532,0.031055696,0.138122559,0.184487402,0.443735927,0.540912569,0.220197067,5,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
52,1,0.577854455,0.189154536,0.086863756,0.667496026,0.235192254,0.315826535,0.368104935,0.784351826,0.953448057,0.797797084,5,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
53,0,0.061274238,0.0074809,0.005229633,0.101188295,0.00913143,0.035406254,0.034252841,0.290812105,0.125682607,0.099857852,5,State,All,All Households,state,99,Mizoram,NA,NA,NA,NA,NA,NA
54,1,0.709126532,0.186576158,0.064872913,0.441008598,0.203605413,0.276669472,0.295192927,0.84847796,0.810406148,0.825908244,5,State,All,All Households,state,99,Mizoram,NA,NA,NA,NA,NA,NA
55,0,0.048614413,0.013485894,0.0050319,0.104719914,0.008077102,0.107131191,0.084999532,0.581090391,0.484528452,0.217989713,5,State,All,All Households,state,99,Nagaland,NA,NA,NA,NA,NA,NA
56,1,0.626009405,0.114106536,0.044642009,0.40531671,0.045066264,0.233080864,0.20050253,0.969231248,0.945589781,0.80868578,5,State,All,All Households,state,99,Nagaland,NA,NA,NA,NA,NA,NA
57,0,0.072891764,0.008941903,0.005329935,0.162677005,0.014150443,0.31816417,0.103444934,0.30354169,0.568885267,0.074272439,5,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA
58,1,0.597156227,0.10072995,0.043957483,0.587855697,0.122305423,0.7423715,0.252097845,0.798916459,0.956861377,0.479418933,5,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA
59,0,0.061909076,0.008430335,0.001712302,0.110621199,0.000908796,0.141160056,0.019009093,0.10155908,0.046659052,0.027260251,5,State,All,All Households,state,99,Puducherry,NA,NA,NA,NA,NA,NA
60,1,0.75480628,0.149616152,0.025091488,0.289107651,0.083578892,0.876316249,0.124655478,0.761988819,0.599696577,0.639132202,5,State,All,All Households,state,99,Puducherry,NA,NA,NA,NA,NA,NA
61,0,0.064613223,0.012860602,0.006442964,0.147828028,0.003211891,0.127634376,0.014801047,0.199677452,0.210171878,0.016132634,5,State,All,All Households,state,99,Punjab,NA,NA,NA,NA,NA,NA
62,1,0.705168009,0.195659697,0.117479302,0.58980757,0.032448422,0.600050926,0.087017,0.660929143,0.601420403,0.242782444,5,State,All,All Households,state,99,Punjab,NA,NA,NA,NA,NA,NA
63,0,0.059311926,0.011016479,0.006698195,0.21601297,0.008014676,0.221741915,0.071435831,0.388269573,0.521153033,0.075549819,5,State,All,All Households,state,99,Rajasthan,NA,NA,NA,NA,NA,NA
64,1,0.540589392,0.139380634,0.074656509,0.618716598,0.084937826,0.720529377,0.25072661,0.794499218,0.914128065,0.421225369,5,State,All,All Households,state,99,Rajasthan,NA,NA,NA,NA,NA,NA
65,0,0.097862236,0.0062312,0.000875613,0.069403999,0.005170971,0.139627442,0.059424199,0.206175417,0.198415235,0.15262948,5,State,All,All Households,state,99,Sikkim,NA,NA,NA,NA,NA,NA
66,1,0.746631324,0.063971296,0.046124674,0.411007524,0.073207833,0.278841257,0.209508732,0.784749925,0.829658985,0.774656951,5,State,All,All Households,state,99,Sikkim,NA,NA,NA,NA,NA,NA
67,0,0.132615194,0.006844766,0.004395216,0.135386303,0.004336036,0.262512445,0.049156033,0.096469648,0.123567127,0.046547476,5,State,All,All Households,state,99,Tamil Nadu,NA,NA,NA,NA,NA,NA
68,1,0.767890334,0.060905121,0.044604186,0.327266067,0.114513554,0.830527544,0.172490194,0.577958107,0.72493583,0.584285975,5,State,All,All Households,state,99,Tamil Nadu,NA,NA,NA,NA,NA,NA
69,0,0.180429265,0.004260919,0.004643091,0.193759561,0.002398635,0.224861026,0.028221935,0.178460613,0.052322567,0.094853327,5,State,All,All Households,state,99,Telangana,NA,NA,NA,NA,NA,NA
70,1,0.81931603,0.073628671,0.069807142,0.518709838,0.059683118,0.692754209,0.084776275,0.645299792,0.413803279,0.562119961,5,State,All,All Households,state,99,Telangana,NA,NA,NA,NA,NA,NA
71,0,0.056794979,0.009114971,0.004273976,0.152658448,0.005282341,0.237335861,0.086548887,0.610612929,0.445607156,0.098097876,5,State,All,All Households,state,99,Tripura,NA,NA,NA,NA,NA,NA
72,1,0.589838326,0.069562249,0.058734741,0.512827992,0.091642126,0.528565168,0.357908785,0.952942371,0.939429939,0.590898335,5,State,All,All Households,state,99,Tripura,NA,NA,NA,NA,NA,NA
73,0,0.064670384,0.029148092,0.011363656,0.204283789,0.051408041,0.246881962,0.013637885,0.522484362,0.422143877,0.054312609,5,State,All,All Households,state,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA
74,1,0.540766418,0.280171305,0.097996756,0.634176254,0.28568235,0.630984485,0.043910284,0.885103166,0.816046119,0.28303054,5,State,All,All Households,state,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA
75,0,0.064431824,0.014230043,0.006939336,0.1451381,0.002158292,0.184348837,0.059969395,0.207110107,0.378146142,0.080484644,5,State,All,All Households,state,99,Uttarakhand,NA,NA,NA,NA,NA,NA
76,1,0.584680736,0.189440027,0.098536968,0.567737818,0.037964616,0.60229665,0.171389878,0.651482165,0.810833931,0.462687641,5,State,All,All Households,state,99,Uttarakhand,NA,NA,NA,NA,NA,NA
77,0,0.080046251,0.00541797,0.004360648,0.157854915,0.011726186,0.255599588,0.040576838,0.398117483,0.524178743,0.051998712,5,State,All,All Households,state,99,West Bengal,NA,NA,NA,NA,NA,NA
78,1,0.645204484,0.068681538,0.032072689,0.556113183,0.120742746,0.737343371,0.091305524,0.87303853,0.944035351,0.404796213,5,State,All,All Households,state,99,West Bengal,NA,NA,NA,NA,NA,NA
79,0,0.095420174,0.002815448,0.004279565,0.09057387,0.018548042,0.0926212,0.045363404,0.377480388,0.198513538,0.078950688,5,State,urban/rural,All Households,statesector,0,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
80,1,0.606460631,0.052730713,0.036321439,0.31567958,0.350208074,0.674357295,0.339837551,0.913603067,0.833445966,0.753624678,5,State,urban/rural,All Households,statesector,0,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
81,0,0.050684534,0.004034599,0.011064146,0.131411329,0,0.121958546,0.019883655,0.097378686,0.006480384,0.04143618,5,State,urban/rural,All Households,statesector,1,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
82,1,0.501009405,0,0,1,0.336487442,0.361418873,0.157913372,0.336487442,0.32041654,0.498990625,5,State,urban/rural,All Households,statesector,1,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
83,0,0.230129093,0.005690309,0.004779456,0.152388498,0.003487445,0.236311108,0.095462218,0.149223819,0.164661214,0.102485992,5,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
84,1,0.777140975,0.057805181,0.058299709,0.497495413,0.065603167,0.704004586,0.263838232,0.546268761,0.640626609,0.556292355,5,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
85,0,0.117175519,0.004599402,0.005773432,0.128014699,0.004235039,0.10422305,0.027892202,0.063990474,0.021433042,0.049568575,5,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
86,1,0.812336445,0.086984545,0.088541351,0.684862018,0.107698455,0.421845675,0.092911623,0.285415798,0.215028793,0.442599624,5,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
87,0,0.107443616,0.017581504,0.00437413,0.094756454,0.041652866,0.128485322,0.047742572,0.740689695,0.471305847,0.108316004,5,State,urban/rural,All Households,statesector,0,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
88,1,0.759337544,0.162681043,0.038353492,0.352747887,0.166414469,0.392429233,0.176311865,0.96726048,0.875597358,0.612244308,5,State,urban/rural,All Households,statesector,0,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
89,0,0.048953362,0.024123197,0.007321396,0.102373555,0.004399777,0.191511139,0.015032023,0.509224832,0.078338556,0.053353213,5,State,urban/rural,All Households,statesector,1,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
90,1,0.631576002,0.243530408,0.080852926,0.634307206,0.037448321,0.64749366,0.077275142,0.909074247,0.528742135,0.34244591,5,State,urban/rural,All Households,statesector,1,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
91,0,0.049013067,0.008933618,0.005477381,0.179902554,0.039535757,0.237665936,0.118698075,0.684438348,0.573735833,0.097172864,5,State,urban/rural,All Households,statesector,0,Assam,NA,NA,NA,NA,NA,NA
92,1,0.528911948,0.125107065,0.054463126,0.640224099,0.230871499,0.617864132,0.279019088,0.962138891,0.905174315,0.461853951,5,State,urban/rural,All Households,statesector,0,Assam,NA,NA,NA,NA,NA,NA
93,0,0.037640084,0.005962905,0.003921116,0.153381854,0.005304404,0.294413626,0.084813997,0.298356861,0.084895782,0.07063631,5,State,urban/rural,All Households,statesector,1,Assam,NA,NA,NA,NA,NA,NA
94,1,0.645365715,0.124540359,0.063369498,0.511109948,0.068437777,0.728642941,0.158380806,0.877396643,0.498411506,0.626999617,5,State,urban/rural,All Households,statesector,1,Assam,NA,NA,NA,NA,NA,NA
95,0,0.075776577,0.01614379,0.009301746,0.207405373,0.0170683,0.398761988,0.011221432,0.610279083,0.57153064,0.132944793,5,State,urban/rural,All Households,statesector,0,Bihar,NA,NA,NA,NA,NA,NA
96,1,0.649498701,0.201228783,0.080664307,0.615431249,0.086042665,0.831336141,0.028154362,0.925647795,0.894428849,0.469713002,5,State,urban/rural,All Households,statesector,0,Bihar,NA,NA,NA,NA,NA,NA
97,0,0.049653053,0.017796589,0.009630553,0.193469137,0.015563249,0.259955078,0.01086278,0.196368784,0.138384491,0.085311145,5,State,urban/rural,All Households,statesector,1,Bihar,NA,NA,NA,NA,NA,NA
98,1,0.679919541,0.253169835,0.120918982,0.622418404,0.174619451,0.680873871,0.030400474,0.711033344,0.640776634,0.437312275,5,State,urban/rural,All Households,statesector,1,Bihar,NA,NA,NA,NA,NA,NA
99,0,0,0.100000001,0,0.150000006,0,0.5,0,0,0.050000001,0.050000001,5,State,urban/rural,All Households,statesector,0,Chandigarh,NA,NA,NA,NA,NA,NA
100,1,0,0,1,1,0,1,0,0,0,0,5,State,urban/rural,All Households,statesector,0,Chandigarh,NA,NA,NA,NA,NA,NA
101,0,0.040009718,0.012595368,0.00446627,0.153462857,0.001868669,0.163173288,0.022545597,0.028147696,0.032638386,0.012072021,5,State,urban/rural,All Households,statesector,1,Chandigarh,NA,NA,NA,NA,NA,NA
102,1,0.57729435,0.448365867,0.23728995,0.632108212,0,0.684399843,0.262652129,0.522968411,0.420064598,0.052470822,5,State,urban/rural,All Households,statesector,1,Chandigarh,NA,NA,NA,NA,NA,NA
103,0,0.084522143,0.013935488,0.007631962,0.230971411,0.005293536,0.187717855,0.060244266,0.576837063,0.748214245,0.074415609,5,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
104,1,0.561869681,0.146470085,0.066791251,0.544858754,0.054632474,0.606953979,0.22335206,0.927338183,0.967011988,0.492361337,5,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
105,0,0.056438096,0.016924534,0.006417168,0.201712653,0.003401966,0.115820184,0.02746884,0.208410695,0.16164428,0.04694619,5,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
106,1,0.607689202,0.210435599,0.085968129,0.522529662,0.057670616,0.463353872,0.067249238,0.696732163,0.73636955,0.55086422,5,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
107,0,0.06561286,0.010263648,0.0050177,0.253842831,0.001729427,0.358179152,0.046241116,0.357246786,0.24112311,0.148918092,5,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
108,1,0.476204783,0.089535482,0.038772654,0.719229937,0.023977729,0.617008686,0.158913314,0.878321111,0.786962271,0.493650138,5,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
109,0,0.063803449,0.006765028,0.008047491,0.21016331,0.002140983,0.336132467,0.034644622,0.056503914,0.017149795,0.181987703,5,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
110,1,0.599739075,0.40701133,0.140416086,0.765751541,0.017220289,0.721235275,0.092229724,0.255325705,0.202135086,0.467986941,5,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
111,0,0.023115341,0.003871817,0.011452027,0.159578905,0,0.148872316,0.018324034,0.079814106,0.016419047,0.01935399,5,State,urban/rural,All Households,statesector,0,Delhi,NA,NA,NA,NA,NA,NA
112,1,0.636531949,0.336056352,0.236785486,0.531060934,0.129471928,0.835196495,0,0.389037222,0.209373802,0.598411024,5,State,urban/rural,All Households,statesector,0,Delhi,NA,NA,NA,NA,NA,NA
113,0,0.041119821,0.010700452,0.007394608,0.149869844,0.000926337,0.193601817,0.015630124,0.055302523,0.00474973,0.053462688,5,State,urban/rural,All Households,statesector,1,Delhi,NA,NA,NA,NA,NA,NA
114,1,0.630046248,0.356380075,0.175725132,0.718691945,0.01761128,0.651888788,0.087797545,0.30074355,0.104149669,0.328450918,5,State,urban/rural,All Households,statesector,1,Delhi,NA,NA,NA,NA,NA,NA
115,0,0.050031256,0.003594082,0,0.165472969,0,0.134953991,0.025637558,0.107194521,0.042340424,0.021905709,5,State,urban/rural,All Households,statesector,0,Goa,NA,NA,NA,NA,NA,NA
116,1,0.618641317,0.102630131,0.046373852,0.728770852,0,0.607030332,0.096665218,0.438124001,0.719472587,0.31900388,5,State,urban/rural,All Households,statesector,0,Goa,NA,NA,NA,NA,NA,NA
117,0,0.023423474,0.004613736,0.00300945,0.155105159,0,0.104718149,0.010479083,0.085607909,0.003783513,0.018462284,5,State,urban/rural,All Households,statesector,1,Goa,NA,NA,NA,NA,NA,NA
118,1,0.281763881,0,0.195417717,0.875509202,0,0.842726946,0,0.522818387,0.26844883,0.503351152,5,State,urban/rural,All Households,statesector,1,Goa,NA,NA,NA,NA,NA,NA
119,0,0.085124865,0.014358943,0.005978235,0.282574147,0.014218603,0.260684729,0.050453801,0.247695491,0.426296562,0.117330045,5,State,urban/rural,All Households,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
120,1,0.479696184,0.16149734,0.063167259,0.625374675,0.154676005,0.767837048,0.161643967,0.751815438,0.916554332,0.559494138,5,State,urban/rural,All Households,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
121,0,0.049450926,0.012151496,0.004319845,0.206565499,0.004142194,0.101168826,0.010636151,0.048626184,0.031841084,0.052027415,5,State,urban/rural,All Households,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
122,1,0.565843761,0.331032097,0.122195981,0.741998434,0.081839532,0.515064359,0.05273677,0.345363915,0.449611634,0.316595584,5,State,urban/rural,All Households,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
123,0,0.049192928,0.015047623,0.008883297,0.200195447,0.00357208,0.138324976,0.074229501,0.265519053,0.541577458,0.05504182,5,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
124,1,0.531458914,0.243133768,0.129682913,0.643695712,0.033452883,0.558404148,0.203591377,0.702979326,0.852406323,0.35522747,5,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
125,0,0.04294166,0.01527279,0.005792291,0.145854577,0.001013253,0.15150848,0.016167901,0.100147203,0.077492759,0.050040469,5,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
126,1,0.654927552,0.352134228,0.13985087,0.672537446,0.032082904,0.550769746,0.08434815,0.465217024,0.440877467,0.33212021,5,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
127,0,0.068244539,0.001850451,0.004342986,0.15721193,0.002990602,0.166284576,0.045156199,0.23261793,0.528067648,0.063893005,5,State,urban/rural,All Households,statesector,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA
128,1,0.569021225,0.052297343,0.076549158,0.508494735,0.039039612,0.654568017,0.1726107,0.789787531,0.879950702,0.531867981,5,State,urban/rural,All Households,statesector,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA
129,0,0.020822713,0.002272954,0.001632114,0.094463691,0.002984843,0.141222998,0.022325452,0.049270451,0.032553494,0.074031152,5,State,urban/rural,All Households,statesector,1,Himachal Pradesh,NA,NA,NA,NA,NA,NA
130,1,0.72568208,0.281986266,0.067620195,0.60176605,0.329587728,0.868653417,0.279411376,0.613924682,0.800714374,0.63759321,5,State,urban/rural,All Households,statesector,1,Himachal Pradesh,NA,NA,NA,NA,NA,NA
