,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,ind_cws_1,ind_cws_2,ind_cws_3,ind_cws_4,ind_cws_5,type,state,urban,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
1,below primary,0.018372722,0.559668362,0.549385726,0.110574454,0.081042103,0.27622959,0.642728329,0.527811229,0.191399679,0.060293052,0.038820934,0.005480158,0.704006195,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,0.612130761,0.84239167,0.545280397,0.364029348,NA
2,primary and middle,0.030511076,0.606451511,0.587948024,0.094570898,0.170462772,0.231307283,0.598229945,0.270825028,0.1987679,0.137854323,0.118906401,0.01445234,0.530019045,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,0.869734108,1.034864783,0.39035508,0.264012069,NA
3,secondary,0.045368753,0.462046474,0.441084027,0.074118905,0.274243057,0.131953537,0.593803406,0.151815683,0.154694781,0.114378929,0.171626344,0.020944225,0.538355708,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,1.109853983,1.237270951,0.328850329,0.235949874,NA
4,tertiary,0.1382256,0.67034632,0.577687263,0.061311547,0.58484596,0.025327094,0.389826953,0.382014275,0.085277028,0.107178867,0.385231376,0.092659019,0.32965371,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,2.070223093,2.142468214,0.185006291,0.137712285,NA
5,below primary,0.017344784,0.58570534,0.575546384,0.128086627,0.042764105,0.280283242,0.67695266,0.529141665,0.234214634,0.056539472,0.024857642,0.005625824,0.678762436,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.585070014,0.804007053,0.558451653,0.382686585,NA
6,primary and middle,0.027222183,0.634061396,0.616800845,0.117550947,0.105329476,0.248784706,0.645885825,0.274261057,0.261094809,0.127350241,0.087827407,0.013467583,0.510259926,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.792712092,0.949260533,0.420136005,0.297627032,NA
7,secondary,0.043181729,0.493882626,0.472555906,0.098070942,0.197573304,0.155107185,0.647319496,0.16354908,0.226444438,0.109257221,0.136461213,0.021308966,0.506528199,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.967385769,1.093414783,0.376436412,0.28128323,NA
8,tertiary,0.161432743,0.701098561,0.587918341,0.09830837,0.45933795,0.044633877,0.496028185,0.405876189,0.17848964,0.101875961,0.307552725,0.113180265,0.298901409,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,1.651722789,1.743622541,0.273201168,0.210068077,NA
9,below primary,0.024563124,0.441480279,0.430636168,0.03108234,0.312991887,0.251666009,0.435342103,0.522850513,0.030245051,0.07442145,0.091378473,0.004931878,0.799023151,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,0.776108325,1.074987411,0.46546784,0.250973791,NA
10,primary and middle,0.041261733,0.53088671,0.508981407,0.031677272,0.386994839,0.173204571,0.43980062,0.258209854,0.025655825,0.167029247,0.205227822,0.017187487,0.584899604,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,1.125789642,1.319451332,0.291350096,0.1522609,NA
11,secondary,0.050487187,0.401478589,0.381209075,0.028550413,0.455058724,0.077348642,0.467592627,0.125523672,0.018207243,0.124121822,0.238520086,0.020250387,0.598900437,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,1.445846915,1.576537013,0.216624737,0.129037023,NA
12,tertiary,0.118325926,0.646047354,0.569603205,0.032078493,0.687204897,0.009581312,0.303213805,0.349097818,0.011625047,0.111368962,0.446609199,0.076444156,0.353952616,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,2.411533833,2.467749357,0.113078363,0.07870201,NA
13,below primary,0.003707418,0.597768605,0.595552444,0.091877706,0.044161242,0.115712672,0.840126097,0.675535381,0.206519738,0.057746921,0.021585524,0.001063512,0.71308428,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,0.498782754,0.67997098,0.657024682,0.498057783,Jammu & Kashmir
14,primary and middle,0.024037672,0.641173124,0.625760853,0.059415169,0.162051558,0.17847456,0.659473896,0.14795953,0.189853638,0.17869252,0.122604683,0.01222911,0.496620059,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,0.993638694,1.121392846,0.347705662,0.243857861,Jammu & Kashmir
15,secondary,0.077274263,0.486256927,0.448681772,0.048208747,0.308700472,0.08920484,0.60209471,0.107365228,0.100567296,0.126849696,0.221264794,0.037575144,0.513743043,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,1.359491467,1.437733412,0.266964376,0.203069255,Jammu & Kashmir
16,tertiary,0.263084888,0.739276409,0.54478395,0.027374808,0.685615361,0.007679573,0.306705058,0.269909322,0.040981136,0.073549531,0.430253297,0.194492459,0.260723561,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,2.214573145,2.32863903,0.161476955,0.081059404,Jammu & Kashmir
17,below primary,0.006741632,0.545155287,0.541480064,0.144645438,0.089176446,0.116498061,0.794325471,0.751784444,0.212011173,0.055826362,0.026163327,0.001995499,0.704003632,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,0.426116854,0.581736565,0.722467065,0.582106769,Himachal Pradesh
18,primary and middle,0.010985111,0.780351102,0.771778822,0.117131464,0.181843966,0.165008888,0.653147161,0.145750061,0.324657679,0.150448352,0.09951248,0.006685081,0.418696404,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,0.730295479,0.903933823,0.526840806,0.400200486,Himachal Pradesh
19,secondary,0.05793054,0.655400634,0.617432892,0.109085158,0.254202545,0.105309062,0.640488386,0.093450144,0.294771373,0.14771086,0.174591437,0.037945621,0.344980717,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,0.941715539,1.044546604,0.480158269,0.397623986,Himachal Pradesh
20,tertiary,0.235413805,0.762866616,0.583277285,0.105569482,0.479873389,0.013923345,0.506203234,0.371653229,0.194009289,0.103051774,0.286216229,0.179589346,0.237133354,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,1.532473207,1.69271481,0.392778784,0.290539801,Himachal Pradesh
21,below primary,0.037116896,0.494372904,0.476023316,0.029043796,0.265425146,0.325781852,0.408793032,0.406892002,0.096666433,0.07215336,0.082653604,0.009693713,0.738832891,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,0.853705287,1.045249701,0.36609602,0.223156482,Punjab
22,primary and middle,0.03474417,0.571298718,0.551449418,0.035670929,0.322532117,0.226872459,0.450595438,0.276314378,0.105697967,0.174942136,0.1479166,0.015933344,0.555509925,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,1.066571355,1.227511287,0.256277949,0.143726051,Punjab
23,secondary,0.081015535,0.524744511,0.482232064,0.058248505,0.334974229,0.099169217,0.565856576,0.233910963,0.143145174,0.134687588,0.203264251,0.042412397,0.476490587,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,1.147861838,1.254867196,0.276222497,0.19323346,Punjab
24,tertiary,0.18466337,0.643927991,0.525018096,0.059116326,0.581154585,0.013191521,0.405653864,0.416848272,0.056031775,0.10358534,0.36540097,0.118909918,0.356072009,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,1.772070885,1.865423322,0.208335355,0.155860648,Punjab
25,below primary,0.03244422,0.392586201,0.379849046,0.006224944,0.610374033,0.181799173,0.207826778,0.527477324,0,0.04908492,0.078709029,0.004285205,0.867920876,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,1.68138504,1.726457238,0.193299279,0.14822717,Chandigarh
26,primary and middle,0.071930252,0.568205535,0.527334392,0.00208795,0.62345022,0.104869254,0.271680534,0.188334286,0,0.153634608,0.215567976,0.028615128,0.602182269,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,1.257974267,1.383490205,0.144604787,0.038994744,Chandigarh
27,secondary,0.093961813,0.455566466,0.412760615,0.001341684,0.796776175,0.033574279,0.169649556,0.116604254,0.002776128,0.121800803,0.287882268,0.042774595,0.544766188,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,1.954041004,2.021300077,0.053156335,0.009948199,Chandigarh
28,tertiary,0.12070711,0.641850173,0.564374268,0.019107549,0.764959633,0,0.235040396,0.198145106,0,0.038610052,0.525764227,0.077475876,0.358149856,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,2.812315702,2.812315702,0.041676752,0.041676752,Chandigarh
29,below primary,0.017629316,0.511130154,0.502119243,0.073864721,0.078135602,0.238932371,0.682932019,0.788140953,0.134183049,0.056006443,0.038607322,0.004105916,0.767097294,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,0.793478966,0.910588503,0.366825104,0.25649786,Uttrakhand
30,primary and middle,0.047971204,0.594921887,0.566382766,0.090846576,0.218902156,0.174959302,0.606138527,0.255521476,0.171559155,0.166161835,0.108044066,0.022617418,0.531617522,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,1.079053998,1.18721509,0.307283044,0.210785583,Uttrakhand
31,secondary,0.075625047,0.47438252,0.438507318,0.063439168,0.329953998,0.094797894,0.575248122,0.13736406,0.147225589,0.111399919,0.178080007,0.035727791,0.527566671,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,1.294956446,1.393940449,0.269307286,0.192020878,Uttrakhand
32,tertiary,0.116088346,0.654436827,0.578464329,0.068164565,0.566452146,0.010360245,0.423187584,0.262135774,0.079463847,0.106882319,0.392118156,0.075972483,0.345563203,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,1.956436276,2.009542465,0.201791346,0.168057233,Uttrakhand
33,below primary,0.026453385,0.343233138,0.334153473,0.050829228,0.213758737,0.236693308,0.54954797,0.583771288,0.086899504,0.03913131,0.03293575,0.004319468,0.83671397,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,0.938958764,1.126690745,0.378134608,0.228243053,Haryana
34,primary and middle,0.037048381,0.530927062,0.511257112,0.048827358,0.291583925,0.219175279,0.489240795,0.29280898,0.110873692,0.142230406,0.121919274,0.014422609,0.610554039,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,1.198640585,1.307445049,0.231083527,0.135945052,Haryana
35,secondary,0.053772658,0.464638621,0.439653784,0.052395497,0.396375179,0.059230484,0.544394314,0.145805731,0.11854095,0.125841767,0.194874033,0.024962293,0.535780966,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,1.49506712,1.59153688,0.215637863,0.141988084,Haryana
36,tertiary,0.065769874,0.574900806,0.537089646,0.035405338,0.651882648,0.008331374,0.339785963,0.199939057,0.048819926,0.113647208,0.374622524,0.037811156,0.425099194,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,2.438278437,2.472036123,0.099599138,0.076556288,Haryana
37,below primary,0.001819714,0.474515766,0.473652273,0.028339127,0.519000053,0.151741832,0.329258114,0.769778192,0.001022223,0.097504556,0.114585951,0.000388511,0.786498785,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,1.032293797,1.268232226,0.252486229,0.066653654,Delhi
38,primary and middle,0.055489197,0.504206419,0.476228416,0.013582248,0.515238941,0.101443514,0.38331753,0.184027553,0.000371268,0.152923465,0.208673507,0.021265324,0.616766453,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,1.399232864,1.405133486,0.050210353,0.04591056,Delhi
39,secondary,0.019597964,0.34267205,0.335956395,0.010450126,0.554168105,0.01952593,0.42630595,0.093502708,0.000846482,0.073611908,0.261498004,0.006715675,0.65732795,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,1.726822376,1.733608007,0.045264404,0.039421204,Delhi
40,tertiary,0.042308457,0.557709038,0.534113228,0.03994263,0.629145026,0,0.370854974,0.124848969,0.001862668,0.058680888,0.473569691,0.023595808,0.442290962,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,2.449960709,2.463675499,0.084023274,0.076079741,Delhi
41,below primary,0.010277435,0.608459175,0.602205813,0.196173757,0.087074511,0.154151708,0.758773804,0.496548206,0.232180044,0.070271723,0.034427427,0.003643691,0.659477115,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,0.531103551,0.720035255,0.599337161,0.450506628,Rajasthan
42,primary and middle,0.037483197,0.630932987,0.607283592,0.123982914,0.194821537,0.148230165,0.656948268,0.290876985,0.197951868,0.135739848,0.119332038,0.017591983,0.529384255,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,0.77383095,0.923163354,0.376978546,0.269817799,Rajasthan
43,secondary,0.0456312,0.438551515,0.418539882,0.094004743,0.248349532,0.111523844,0.640126646,0.121295229,0.14487128,0.129821882,0.142443255,0.019944528,0.562919021,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,0.887517035,1.012508869,0.353127122,0.267877668,Rajasthan
44,tertiary,0.226956308,0.695081711,0.537328541,0.113822728,0.478372544,0.016207837,0.505419612,0.412599385,0.117578335,0.094330743,0.325419486,0.15775317,0.304918289,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,1.50262785,1.58850956,0.287580162,0.237045988,Rajasthan
45,below primary,0.01114357,0.516839743,0.511080325,0.110066995,0.040235672,0.180426881,0.779337466,0.696315169,0.167300567,0.043834355,0.028619926,0.00270589,0.757539272,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,0.515917063,0.70046711,0.597898781,0.436636597,Uttar Pradesh
46,primary and middle,0.030904949,0.56908673,0.551499128,0.115613371,0.10032291,0.182107762,0.717569351,0.280009538,0.216158479,0.115126319,0.091165498,0.013435324,0.564114392,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,0.77790755,0.92241931,0.429140836,0.306574196,Uttar Pradesh
47,secondary,0.040907767,0.433920771,0.416170031,0.095465824,0.153218329,0.108927533,0.737854123,0.168781132,0.208360806,0.094912745,0.112598903,0.017738039,0.566389501,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,0.863396823,0.975658417,0.400826633,0.307781518,Uttar Pradesh
48,tertiary,0.15053612,0.602124274,0.511482835,0.095845327,0.388242066,0.030646926,0.581111014,0.455846429,0.151832893,0.07996735,0.279682577,0.090641446,0.397875726,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,1.507827044,1.602511168,0.301285028,0.237077817,Uttar Pradesh
49,below primary,0.010680228,0.546357512,0.540522277,0.108263031,0.028144361,0.310392052,0.661463618,0.54936713,0.170990437,0.058617227,0.023841912,0.00273496,0.743815482,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,0.737579644,0.880569756,0.43345353,0.313498199,Bihar
50,primary and middle,0.025722062,0.53246218,0.518766165,0.078149892,0.061294548,0.258426487,0.680278957,0.25241217,0.174950734,0.114651255,0.080064356,0.010134643,0.620199025,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,0.905117691,0.954987347,0.261780113,0.220988169,Bihar
51,secondary,0.034151662,0.393054277,0.379630834,0.075885512,0.126245186,0.145355999,0.7283988,0.134185612,0.170781031,0.074731842,0.133945003,0.013417341,0.607124805,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,0.965546191,1.020954847,0.285725236,0.241242975,Bihar
52,tertiary,0.155983865,0.660606921,0.557562947,0.100173436,0.412387639,0.021090403,0.566521943,0.446624786,0.148143739,0.04119195,0.368227243,0.103044026,0.339393049,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,1.66987288,1.699220896,0.205200791,0.182975098,Bihar
53,below primary,0,0.803699911,0.803699911,0.245259792,0.078322724,0.109178923,0.812498331,0.329816103,0.371357024,0.057486657,0.061006714,0,0.510149598,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,0.546038568,0.811631799,0.635847688,0.434882551,Sikkim
54,primary and middle,0.009320731,0.782170355,0.774879992,0.130005509,0.270195723,0.090314433,0.63948983,0.071032561,0.240347013,0.112444147,0.305823028,0.006196522,0.335189283,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,1.169986606,1.249377728,0.331454307,0.267732173,Sikkim
55,secondary,0.077219635,0.552054107,0.509424686,0.059116654,0.515051246,0.033661406,0.451287359,0.103095442,0.107458755,0.057607803,0.344358116,0.042629413,0.447945893,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,1.670495868,1.73152256,0.228590831,0.176455528,Sikkim
56,tertiary,0.103413433,0.871549487,0.781419575,0.067992739,0.842603683,0,0.157396287,0.339589298,0.040388379,0.075378373,0.665652812,0.090129927,0.128450513,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,2.547426939,2.549353838,0.091721795,0.089794897,Sikkim
57,below primary,0,0.792442381,0.792442381,0.20558171,0.044035103,0.055373907,0.900591016,0.136783972,0.352838099,0.033136427,0.033190146,0,0.580835342,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,0.655587852,0.801114321,0.513127863,0.391267896,Arunachal Pradesh
58,primary and middle,0.011891018,0.703495741,0.695130467,0.129948437,0.102547139,0.047979251,0.849473596,0.078378566,0.336769402,0.074361973,0.123263404,0.006415046,0.45919016,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,0.996883035,1.116900206,0.366093338,0.273378938,Arunachal Pradesh
59,secondary,0.046169251,0.588429153,0.561261833,0.128377214,0.267852455,0.042656705,0.689490855,0.056909688,0.280506581,0.078619987,0.20213525,0.027167335,0.411570847,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,1.304922938,1.433631659,0.384378821,0.279795319,Arunachal Pradesh
60,tertiary,0.328647584,0.918352187,0.616537929,0.057133403,0.662729502,0.001458525,0.335811973,0.716601789,0.126556501,0.043553527,0.446427912,0.301814228,0.081647828,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,2.571829319,2.615668535,0.132541329,0.10702619,Arunachal Pradesh
61,below primary,0,0.63200593,0.63200593,0.174382702,0.027716633,0.040295046,0.931988299,0.565702558,0.11088264,0.004017378,0.013802031,0,0.871297956,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,0.579206944,0.891711473,0.575026512,0.337724209,Nagaland
62,primary and middle,0.020421838,0.70737946,0.6929335,0.135372996,0.074383318,0.084719889,0.840896785,0.185724914,0.312570006,0.082070321,0.134842455,0.011038437,0.459478796,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,0.878972173,1.050135016,0.402466804,0.247935131,Nagaland
63,secondary,0.083931431,0.663390994,0.607711673,0.058611281,0.389341146,0.037601579,0.573057294,0.157493502,0.21097827,0.0675295,0.329203874,0.055679359,0.336608976,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,1.767454147,1.909031391,0.228365049,0.130752832,Nagaland
64,tertiary,0.213958114,0.884668469,0.695386469,0.010081872,0.842964649,0,0.157035366,0.422127992,0.037511438,0.014199754,0.643675268,0.189281985,0.115331553,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,2.910928011,2.956801653,0.059641648,0.02427895,Nagaland
65,below primary,0.004562277,0.465014309,0.462892771,0.103478998,0.003171183,0.028989764,0.967839062,0.956458271,0.113341987,0.012696195,0.010142363,0.000624141,0.8631953,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,0.779122472,0.953486025,0.412544429,0.25641489,Manipur
66,primary and middle,0.025414107,0.633240283,0.617147028,0.072293065,0.052244686,0.065634474,0.882120848,0.14921464,0.26719895,0.136209488,0.083992183,0.014176819,0.498422563,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,0.916620374,1.109621525,0.334836841,0.17090176,Manipur
67,secondary,0.04440878,0.49315834,0.471257776,0.035422787,0.223914281,0.059648752,0.716436982,0.039089907,0.168699518,0.141846895,0.160711378,0.021900559,0.50684166,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,1.389022946,1.55139482,0.234730318,0.115796991,Manipur
68,tertiary,0.141873717,0.741306305,0.636134446,0.028134827,0.691771984,0.005512616,0.302715391,0.224206597,0.054684404,0.059328757,0.522121251,0.105171874,0.258693695,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,2.527658463,2.673609495,0.151895851,0.056901451,Manipur
69,below primary,0.015576394,0.276479691,0.272173136,0.054860801,0.026654104,0.018561767,0.954784155,0.592870176,0.054171704,0.002684508,0.007282252,0.001014854,0.934846699,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,1.40616715,1.440828204,0.246508017,0.217882499,Mizoram
70,primary and middle,0.003330145,0.587082863,0.585127771,0.142059997,0.035520438,0.091232613,0.873246968,0.059916664,0.266431749,0.06907589,0.146190077,0.001716882,0.51658541,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,1.079683185,1.153038979,0.313880026,0.260908961,Mizoram
71,secondary,0.024446333,0.383224577,0.373856157,0.040571146,0.255499929,0.047370892,0.69712919,0.008078624,0.105159566,0.047908716,0.220787868,0.009368435,0.616775393,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,1.758620381,1.788961411,0.13492617,0.113577016,Mizoram
72,tertiary,0.070161633,0.840882182,0.781884551,0.023932787,0.818258822,0.0030467,0.178694487,0.201950967,0.023343783,0.02627011,0.732270658,0.058997665,0.159117803,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,3.124699831,3.132791758,0.034684915,0.030609107,Mizoram
73,below primary,0.006640748,0.603810251,0.599800527,0.103953645,0.037995283,0.278117895,0.683886826,0.438751876,0.214311048,0.077783987,0.042677615,0.002238003,0.662989378,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,0.645789266,0.79478544,0.461113751,0.327938825,Tripura
74,primary and middle,0.011490697,0.664846718,0.657207131,0.130481035,0.083712593,0.262203813,0.65408361,0.231691733,0.2829808,0.146788135,0.144459233,0.006674982,0.419096857,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,0.75490123,0.876951694,0.426031798,0.325492769,Tripura
75,secondary,0.026445005,0.420589298,0.409466803,0.050721057,0.253539383,0.11692287,0.629537761,0.146013901,0.108607858,0.063152395,0.237706557,0.011122486,0.579410672,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,1.213538289,1.311142921,0.290260404,0.216818288,Tripura
76,tertiary,0.097138569,0.712813973,0.643572271,0.02077933,0.484135151,0.03360378,0.482261062,0.353672564,0.075251512,0.041415993,0.526904762,0.069241732,0.287185997,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,2.057479382,2.096189022,0.117572054,0.083985083,Tripura
77,below primary,0.008361256,0.866458893,0.859214246,0.044828687,0.034951843,0.331781179,0.633266985,0.215271682,0.208353996,0.062472045,0.051047392,0.002684185,0.675442398,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,0.736699224,0.930098534,0.442452878,0.260535687,Meghalaya
78,primary and middle,0.063274808,0.766297102,0.717809796,0.086313449,0.095839731,0.361929327,0.542230904,0.150766701,0.345166624,0.129242823,0.122910917,0.040967349,0.361712277,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,0.830728292,0.941127002,0.421195865,0.335371703,Meghalaya
79,secondary,0.098587051,0.553212106,0.498672545,0.029670671,0.347657621,0.185465112,0.466877252,0.048216946,0.164560512,0.072997965,0.261114061,0.05453955,0.446787894,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,1.542852998,1.675621271,0.307012111,0.226234183,Meghalaya
80,tertiary,0.165335357,0.855009794,0.713646472,0.022551211,0.712398767,0.040425718,0.24717553,0.368015498,0.073797658,0.054838378,0.585010409,0.141363353,0.144990206,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,2.603631258,2.701333523,0.156531006,0.112049133,Meghalaya
81,below primary,0.007198544,0.661621153,0.656858444,0.072699748,0.149501398,0.264068097,0.58643049,0.492304921,0.203507289,0.071668766,0.046120342,0.002433393,0.676270187,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,0.779728234,1.127941847,0.460173815,0.266239941,Assam
82,primary and middle,0.049050361,0.650458455,0.618553221,0.072525881,0.131565794,0.244425669,0.624008536,0.258633524,0.232187778,0.137563854,0.144152641,0.026496295,0.459599435,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,0.78567493,1.027040601,0.431900024,0.285376608,Assam
83,secondary,0.078863472,0.539210618,0.496686578,0.053301308,0.272839189,0.078807116,0.648353696,0.148362145,0.152169541,0.095308475,0.24920857,0.042524021,0.460789382,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,1.116240978,1.274822831,0.343157768,0.246179149,Assam
84,tertiary,0.152462214,0.748909473,0.634729087,0.026735933,0.638760269,0.004456241,0.356783479,0.442886978,0.064226665,0.077282898,0.493219525,0.114180401,0.251090497,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,2.277801991,2.369630575,0.131104589,0.070118897,Assam
85,below primary,0.013053196,0.583503962,0.575887322,0.050994053,0.104055203,0.30789879,0.588046014,0.478853822,0.184522167,0.083120711,0.058791835,0.004440893,0.669124365,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,0.581168056,0.910369158,0.570204556,0.347103357,West Bengal
86,primary and middle,0.029282682,0.618931472,0.600807488,0.062037639,0.164422244,0.256855369,0.578722417,0.271241814,0.186912492,0.169574887,0.142661437,0.015640559,0.485210627,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,0.84022826,1.050494313,0.42515865,0.281239599,West Bengal
87,secondary,0.057954717,0.461659133,0.4349038,0.058853436,0.27797547,0.132720098,0.589304447,0.216992229,0.103014223,0.116186738,0.215702847,0.026755324,0.538340867,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,1.012527347,1.224195004,0.419921398,0.277386129,West Bengal
88,tertiary,0.088467382,0.681657434,0.621352971,0.044861067,0.571986735,0.014341723,0.413671553,0.301230937,0.041605789,0.098797843,0.480949342,0.060304444,0.318342596,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,1.906026006,2.040821075,0.24549301,0.154648378,West Bengal
89,below primary,0.004787373,0.544769347,0.542161345,0.135973707,0.05214278,0.212824389,0.735032856,0.637509763,0.164475918,0.077050991,0.023542142,0.001275089,0.73365587,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,0.515378773,0.701286495,0.636547685,0.476664662,Jharkhand
90,primary and middle,0.014850046,0.576680958,0.568117201,0.135131016,0.08850234,0.300732672,0.61076498,0.275047034,0.179160848,0.169345006,0.092740312,0.00657659,0.55217725,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,0.709168613,0.860651612,0.486340672,0.349845529,Jharkhand
