state,poor_365,sector2,inc_selfemp,inc_selfemp_nonagri,inc_salaried,inc_salaried_nonagri,inc_casual,inc_casual_nonagri,year
Nagaland,1,1,0,0,0,0,0,0,2022
Nagaland,1,99,0.72,0.06,0,0.1,0,0.03,2022
Nagaland,0,0,0.6,0.1,0,0.2,0.01,0.03,2022
Nagaland,0,1,0,0,0,0,0,0,2022
Nagaland,0,99,0.39,0.07,0,0.13,0.01,0.02,2022
Odisha,1,0,0.36,0.09,0,0.04,0.2,0.18,2022
Odisha,1,1,0,0,0,0,0,0,2022
Odisha,1,99,0.33,0.08,0,0.04,0.18,0.17,2022
Odisha,0,0,0.28,0.16,0.01,0.13,0.12,0.17,2022
Odisha,0,1,0,0,0,0,0,0,2022
Odisha,0,99,0.22,0.13,0.01,0.11,0.1,0.14,2022
Puducherry,1,0,0,0.11,0,0.08,0.16,0.44,2022
Puducherry,1,1,0,0,0,0,0,0,2022
Puducherry,1,99,0,0.02,0,0.02,0.04,0.1,2022
Puducherry,0,0,0.05,0.12,0.01,0.36,0.1,0.19,2022
Puducherry,0,1,0,0,0,0,0,0,2022
Puducherry,0,99,0.02,0.04,0,0.12,0.03,0.06,2022
Punjab,1,0,0.02,0.18,0.03,0.17,0.15,0.44,2022
Punjab,1,1,0,0,0,0,0,0,2022
Punjab,1,99,0.01,0.11,0.02,0.11,0.09,0.27,2022
Punjab,0,0,0.23,0.17,0.02,0.16,0.06,0.27,2022
Punjab,0,1,0,0,0,0,0,0,2022
Punjab,0,99,0.14,0.11,0.01,0.1,0.04,0.17,2022
Rajasthan,1,0,0.42,0.1,0.01,0.06,0.06,0.31,2022
Rajasthan,1,1,0,0,0,0,0,0,2022
Rajasthan,1,99,0.35,0.09,0.01,0.05,0.05,0.26,2022
Rajasthan,0,0,0.43,0.13,0.01,0.12,0.04,0.15,2022
Rajasthan,0,1,0,0,0,0,0,0,2022
Rajasthan,0,99,0.31,0.09,0,0.09,0.03,0.11,2022
Sikkim,1,0,0.64,0.07,0,0.17,0.03,0.1,2022
Sikkim,1,1,0,0,0,0,0,0,2022
Sikkim,1,99,0.55,0.06,0,0.14,0.02,0.08,2022
Sikkim,0,0,0.37,0.16,0,0.36,0.02,0.08,2022
Sikkim,0,1,0,0,0,0,0,0,2022
Sikkim,0,99,0.24,0.1,0,0.24,0.02,0.05,2022
Tamil Nadu,1,0,0.14,0.1,0.01,0.12,0.27,0.26,2022
Tamil Nadu,1,1,0,0,0,0,0,0,2022
Tamil Nadu,1,99,0.09,0.06,0.01,0.08,0.17,0.17,2022
Tamil Nadu,0,0,0.19,0.12,0.01,0.21,0.19,0.21,2022
Tamil Nadu,0,1,0,0,0,0,0,0,2022
Tamil Nadu,0,99,0.1,0.06,0.01,0.11,0.1,0.11,2022
Telangana,1,0,0.52,0.06,0.01,0.04,0.26,0.04,2022
Telangana,1,1,0,0,0,0,0,0,2022
Telangana,1,99,0.37,0.04,0.01,0.03,0.19,0.03,2022
Telangana,0,0,0.42,0.13,0.01,0.08,0.19,0.04,2022
Telangana,0,1,0,0,0,0,0,0,2022
Telangana,0,99,0.22,0.07,0,0.04,0.1,0.02,2022
Tripura,1,0,0.37,0.25,0.01,0,0.15,0.2,2022
Tripura,1,1,0,0,0,0,0,0,2022
Tripura,1,99,0.35,0.23,0.01,0,0.15,0.19,2022
Tripura,0,0,0.26,0.23,0.01,0.13,0.13,0.19,2022
Tripura,0,1,0,0,0,0,0,0,2022
Tripura,0,99,0.19,0.17,0.01,0.1,0.1,0.14,2022
Uttar Pradesh,1,0,0.34,0.11,0.01,0.06,0.11,0.29,2022
Uttar Pradesh,1,1,0,0,0,0,0,0,2022
Uttar Pradesh,1,99,0.29,0.1,0.01,0.05,0.1,0.25,2022
Uttar Pradesh,0,0,0.4,0.14,0.01,0.1,0.08,0.18,2022
Uttar Pradesh,0,1,0,0,0,0,0,0,2022
Uttar Pradesh,0,99,0.31,0.1,0.01,0.07,0.06,0.13,2022
Uttrakhand,1,0,0.28,0.12,0.01,0.11,0.09,0.32,2022
Uttrakhand,1,1,0,0,0,0,0,0,2022
Uttrakhand,1,99,0.24,0.1,0.01,0.09,0.08,0.27,2022
Uttrakhand,0,0,0.25,0.18,0.01,0.22,0.07,0.14,2022
Uttrakhand,0,1,0,0,0,0,0,0,2022
Uttrakhand,0,99,0.19,0.13,0.01,0.17,0.05,0.1,2022
West Bengal,1,0,0.19,0.13,0.03,0.07,0.31,0.21,2022
West Bengal,1,1,0,0,0,0,0,0,2022
West Bengal,1,99,0.15,0.1,0.02,0.06,0.24,0.17,2022
West Bengal,0,0,0.21,0.19,0.02,0.13,0.2,0.17,2022
West Bengal,0,1,0,0,0,0,0,0,2022
West Bengal,0,99,0.15,0.13,0.01,0.09,0.14,0.12,2022
