,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,agri_cws,services_cws,ind_cws,type,statenumber,sector,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
1,below primary,0.018372722,0.559668362,0.549385726,0.110574454,0.081042103,0.27622959,0.642728329,0.476698548,0.65890491,0.133574262,0.207520828,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
2,primary and middle,0.030511076,0.606451511,0.587948024,0.094570898,0.170462772,0.231307283,0.598229945,0.30307579,0.4357512,0.26106137,0.30318743,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
3,secondary,0.045368753,0.462046474,0.441084027,0.074118905,0.274243057,0.131953537,0.593803406,0.201798335,0.351020575,0.389440268,0.259539187,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
4,tertiary,0.1382256,0.67034632,0.577687263,0.061311547,0.58484596,0.025327094,0.389826953,0.386887312,0.147617981,0.666851103,0.185530946,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
5,below primary,0.017344784,0.58570534,0.575546384,0.128086627,0.042764105,0.280283242,0.67695266,0.475796372,0.742047846,0.078767635,0.179184496,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
6,primary and middle,0.027222183,0.634061396,0.616800845,0.117550947,0.105329476,0.248784706,0.645885825,0.304378897,0.547687531,0.18436563,0.267946839,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
7,secondary,0.043181729,0.493882626,0.472555906,0.098070942,0.197573304,0.155107185,0.647319496,0.207871094,0.479589671,0.289012998,0.231397316,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
8,tertiary,0.161432743,0.701098561,0.587918341,0.09830837,0.45933795,0.044633877,0.496028185,0.402645767,0.30359599,0.523121476,0.173282504,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
9,below primary,0.024563124,0.441480279,0.430636168,0.03108234,0.312991887,0.251666009,0.435342103,0.480283916,0.154500157,0.466070533,0.379429311,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
10,primary and middle,0.041261733,0.53088671,0.508981407,0.031677272,0.386994839,0.173204571,0.43980062,0.298367947,0.064498417,0.515433729,0.420067847,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
11,secondary,0.050487187,0.401478589,0.381209075,0.028550413,0.455058724,0.077348642,0.467592627,0.187808022,0.047806967,0.626284957,0.325908095,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
12,tertiary,0.118325926,0.646047354,0.569603205,0.032078493,0.687204897,0.009581312,0.303213805,0.367923737,0.020409025,0.78407073,0.195520237,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
13,below primary,0.003707418,0.597768605,0.595552444,0.091877706,0.044161242,0.115712672,0.840126097,0.547590435,0.722609699,0.075334609,0.202055678,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
14,primary and middle,0.024037672,0.641173124,0.625760853,0.059415169,0.162051558,0.17847456,0.659473896,0.205854475,0.386677742,0.249340847,0.363981426,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
15,secondary,0.077274263,0.486256927,0.448681772,0.048208747,0.308700472,0.08920484,0.60209471,0.143266037,0.224139467,0.493144155,0.282716393,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
16,tertiary,0.263084888,0.739276409,0.54478395,0.027374808,0.685615361,0.007679573,0.306705058,0.395616919,0.075224563,0.789768636,0.135006785,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
17,below primary,0.006741632,0.545155287,0.541480064,0.144645438,0.089176446,0.116498061,0.794325471,0.60754478,0.721124351,0.088990644,0.18988502,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
18,primary and middle,0.010985111,0.780351102,0.771778822,0.117131464,0.181843966,0.165008888,0.653147161,0.16946198,0.564996898,0.173180088,0.261823028,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
19,secondary,0.05793054,0.655400634,0.617432892,0.109085158,0.254202545,0.105309062,0.640488386,0.123620689,0.477692366,0.282934517,0.239373133,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
20,tertiary,0.235413805,0.762866616,0.583277285,0.105569482,0.479873389,0.013923345,0.506203234,0.408552527,0.33261928,0.490703553,0.176677153,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
21,below primary,0.037116896,0.494372904,0.476023316,0.029043796,0.265425146,0.325781852,0.408793032,0.365234882,0.384400219,0.328677326,0.286922425,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
22,primary and middle,0.03474417,0.571298718,0.551449418,0.035670929,0.322532117,0.226872459,0.450595438,0.300606579,0.247020587,0.344592333,0.408387095,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
23,secondary,0.081015535,0.524744511,0.482232064,0.058248505,0.334974229,0.099169217,0.565856576,0.278695554,0.297539085,0.422501594,0.279959321,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
24,tertiary,0.18466337,0.643927991,0.525018096,0.059116326,0.581154585,0.013191521,0.405653864,0.44697237,0.10672351,0.695977867,0.197298601,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
25,below primary,0.03244422,0.392586201,0.379849046,0.006224944,0.610374033,0.181799173,0.207826778,0.758578539,0,0.615905762,0.384094238,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chandigarh
26,primary and middle,0.071930252,0.568205535,0.527334392,0.00208795,0.62345022,0.104869254,0.271680534,0.283318192,0,0.583874524,0.416125506,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chandigarh
27,secondary,0.093961813,0.455566466,0.412760615,0.001341684,0.796776175,0.033574279,0.169649556,0.142837718,0.006730672,0.697965443,0.295303881,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chandigarh
28,tertiary,0.12070711,0.641850173,0.564374268,0.019107549,0.764959633,0,0.235040396,0.187019438,0,0.931587875,0.06841214,State+AllSectors+edu_cat,4,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chandigarh
29,below primary,0.017629316,0.511130154,0.502119243,0.073864721,0.078135602,0.238932371,0.682932019,0.437826842,0.586472511,0.168740645,0.244786814,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttrakhand
30,primary and middle,0.047971204,0.594921887,0.566382766,0.090846576,0.218902156,0.174959302,0.606138527,0.318638831,0.383991361,0.242396012,0.373612612,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttrakhand
31,secondary,0.075625047,0.47438252,0.438507318,0.063439168,0.329953998,0.094797894,0.575248122,0.196306601,0.337127835,0.407780528,0.255091637,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttrakhand
32,tertiary,0.116088346,0.654436827,0.578464329,0.068164565,0.566452146,0.010360245,0.423187584,0.342877835,0.137370348,0.677860558,0.184769079,State+AllSectors+edu_cat,5,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttrakhand
33,below primary,0.026453385,0.343233138,0.334153473,0.050829228,0.213758737,0.236693308,0.54954797,0.522709906,0.546652734,0.207186654,0.246160626,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Haryana
34,primary and middle,0.037048381,0.530927062,0.511257112,0.048827358,0.291583925,0.219175279,0.489240795,0.34150672,0.29576683,0.324819118,0.379414052,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Haryana
35,secondary,0.053772658,0.464638621,0.439653784,0.052395497,0.396375179,0.059230484,0.544394314,0.222561657,0.269867092,0.443644941,0.286487937,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Haryana
36,tertiary,0.065769874,0.574900806,0.537089646,0.035405338,0.651882648,0.008331374,0.339785963,0.296480983,0.090897165,0.69750464,0.211598203,State+AllSectors+edu_cat,6,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Haryana
37,below primary,0.001819714,0.474515766,0.473652273,0.028339127,0.519000053,0.151741832,0.329258114,0.596432269,0.004796631,0.537677646,0.4575257,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Delhi
38,primary and middle,0.055489197,0.504206419,0.476228416,0.013582248,0.515238941,0.101443514,0.38331753,0.327237338,0.001025692,0.57649672,0.422477573,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Delhi
39,secondary,0.019597964,0.34267205,0.335956395,0.010450126,0.554168105,0.01952593,0.42630595,0.138863191,0.002519618,0.77836889,0.219111502,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Delhi
40,tertiary,0.042308457,0.557709038,0.534113228,0.03994263,0.629145026,0,0.370854974,0.213809595,0.003487404,0.886646569,0.109866008,State+AllSectors+edu_cat,7,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Delhi
41,below primary,0.010277435,0.608459175,0.602205813,0.196173757,0.087074511,0.154151708,0.758773804,0.459780991,0.689195991,0.102199316,0.208604679,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Rajasthan
42,primary and middle,0.037483197,0.630932987,0.607283592,0.123982914,0.194821537,0.148230165,0.656948268,0.294810891,0.436605066,0.264125794,0.29926914,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Rajasthan
43,secondary,0.0456312,0.438551515,0.418539882,0.094004743,0.248349532,0.111523844,0.640126646,0.146680206,0.347299546,0.341478825,0.311221659,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Rajasthan
44,tertiary,0.226956308,0.695081711,0.537328541,0.113822728,0.478372544,0.016207837,0.505419612,0.426218539,0.218820184,0.605624735,0.17555505,State+AllSectors+edu_cat,8,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Rajasthan
45,below primary,0.01114357,0.516839743,0.511080325,0.110066995,0.040235672,0.180426881,0.779337466,0.644909024,0.697399616,0.119360231,0.183240145,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttar Pradesh
46,primary and middle,0.030904949,0.56908673,0.551499128,0.115613371,0.10032291,0.182107762,0.717569351,0.31362319,0.511333644,0.214702934,0.273963392,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttar Pradesh
47,secondary,0.040907767,0.433920771,0.416170031,0.095465824,0.153218329,0.108927533,0.737854123,0.225390524,0.501020908,0.270753443,0.228225604,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttar Pradesh
48,tertiary,0.15053612,0.602124274,0.511482835,0.095845327,0.388242066,0.030646926,0.581111014,0.466469795,0.296848476,0.546807349,0.15634416,State+AllSectors+edu_cat,9,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Uttar Pradesh
49,below primary,0.010680228,0.546357512,0.540522277,0.108263031,0.028144361,0.310392052,0.661463618,0.542632818,0.674863815,0.093994699,0.231141493,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Bihar
50,primary and middle,0.025722062,0.53246218,0.518766165,0.078149892,0.061294548,0.258426487,0.680278957,0.315300494,0.472892314,0.215313956,0.311793745,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Bihar
51,secondary,0.034151662,0.393054277,0.379630834,0.075885512,0.126245186,0.145355999,0.7283988,0.204871327,0.450065881,0.352990419,0.1969437,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Bihar
52,tertiary,0.155983865,0.660606921,0.557562947,0.100173436,0.412387639,0.021090403,0.566521943,0.428645462,0.265698701,0.660422742,0.073878564,State+AllSectors+edu_cat,10,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Bihar
53,below primary,0,0.803699911,0.803699911,0.245259792,0.078322724,0.109178923,0.812498331,0.363458127,0.758102953,0.124541521,0.11735554,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Sikkim
54,primary and middle,0.009320731,0.782170355,0.774879992,0.130005509,0.270195723,0.090314433,0.63948983,0.150923714,0.364928395,0.46434319,0.1707284,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Sikkim
55,secondary,0.077219635,0.552054107,0.509424686,0.059116654,0.515051246,0.033661406,0.451287359,0.144422323,0.210941404,0.675974548,0.113084048,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Sikkim
56,tertiary,0.103413433,0.871549487,0.781419575,0.067992739,0.842603683,0,0.157396287,0.229346499,0.051685911,0.851850688,0.096463382,State+AllSectors+edu_cat,11,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Sikkim
57,below primary,0,0.792442381,0.792442381,0.20558171,0.044035103,0.055373907,0.900591016,0.161588505,0.841310143,0.079409182,0.07928066,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Arunachal Pradesh
58,primary and middle,0.011891018,0.703495741,0.695130467,0.129948437,0.102547139,0.047979251,0.849473596,0.122743025,0.630375803,0.230127037,0.139497146,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Arunachal Pradesh
59,secondary,0.046169251,0.588429153,0.561261833,0.128377214,0.267852455,0.042656705,0.689490855,0.071179599,0.499778479,0.360144317,0.140077204,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Arunachal Pradesh
60,tertiary,0.328647584,0.918352187,0.616537929,0.057133403,0.662729502,0.001458525,0.335811973,0.568779707,0.205269605,0.724088311,0.070642091,State+AllSectors+edu_cat,12,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Arunachal Pradesh
61,below primary,0,0.63200593,0.63200593,0.174382702,0.027716633,0.040295046,0.931988299,0.476551503,0.861545265,0.107240178,0.031214561,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Nagaland
62,primary and middle,0.020421838,0.70737946,0.6929335,0.135372996,0.074383318,0.084719889,0.840896785,0.21959053,0.590330839,0.254668236,0.155000925,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Nagaland
63,secondary,0.083931431,0.663390994,0.607711673,0.058611281,0.389341146,0.037601579,0.573057294,0.213757679,0.347168386,0.541710675,0.111120954,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Nagaland
64,tertiary,0.213958114,0.884668469,0.695386469,0.010081872,0.842964649,0,0.157035366,0.535669029,0.053943295,0.925636768,0.020419946,State+AllSectors+edu_cat,13,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Nagaland
65,below primary,0.004562277,0.465014309,0.462892771,0.103478998,0.003171183,0.028989764,0.967839062,0.811724842,0.83229208,0.074477322,0.093230613,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Manipur
66,primary and middle,0.025414107,0.633240283,0.617147028,0.072293065,0.052244686,0.065634474,0.882120848,0.229286224,0.548212171,0.172326788,0.279461056,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Manipur
67,secondary,0.04440878,0.49315834,0.471257776,0.035422787,0.223914281,0.059648752,0.716436982,0.112263761,0.357977152,0.341026485,0.300996393,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Manipur
68,tertiary,0.141873717,0.741306305,0.636134446,0.028134827,0.691771984,0.005512616,0.302715391,0.349491835,0.085963599,0.820771933,0.093264498,State+AllSectors+edu_cat,14,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Manipur
69,below primary,0.015576394,0.276479691,0.272173136,0.054860801,0.026654104,0.018561767,0.954784155,0.514320612,0.844605565,0.113539547,0.041854877,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Mizoram
70,primary and middle,0.003330145,0.587082863,0.585127771,0.142059997,0.035520438,0.091232613,0.873246968,0.137835458,0.553109825,0.303489238,0.143400908,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Mizoram
71,secondary,0.024446333,0.383224577,0.373856157,0.040571146,0.255499929,0.047370892,0.69712919,0.039537814,0.281283498,0.590569079,0.128147453,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Mizoram
72,tertiary,0.070161633,0.840882182,0.781884551,0.023932787,0.818258822,0.0030467,0.178694487,0.246255964,0.029855793,0.93654573,0.033598453,State+AllSectors+edu_cat,15,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Mizoram
73,below primary,0.006640748,0.603810251,0.599800527,0.103953645,0.037995283,0.278117895,0.683886826,0.307093024,0.640168905,0.127482384,0.232348695,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Tripura
74,primary and middle,0.011490697,0.664846718,0.657207131,0.130481035,0.083712593,0.262203813,0.65408361,0.235203639,0.492802024,0.251571149,0.255626857,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Tripura
75,secondary,0.026445005,0.420589298,0.409466803,0.050721057,0.253539383,0.11692287,0.629537761,0.180259883,0.265242159,0.580527067,0.154230803,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Tripura
76,tertiary,0.097138569,0.712813973,0.643572271,0.02077933,0.484135151,0.03360378,0.482261062,0.30896306,0.116927832,0.818718851,0.064353295,State+AllSectors+edu_cat,16,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Tripura
77,below primary,0.008361256,0.866458893,0.859214246,0.044828687,0.034951843,0.331781179,0.633266985,0.192535922,0.643894315,0.159863964,0.196241722,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Meghalaya
78,primary and middle,0.063274808,0.766297102,0.717809796,0.086313449,0.095839731,0.361929327,0.542230904,0.143604562,0.577007949,0.206185102,0.216806963,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Meghalaya
79,secondary,0.098587051,0.553212106,0.498672545,0.029670671,0.347657621,0.185465112,0.466877252,0.093546994,0.329997122,0.523618281,0.146384567,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Meghalaya
80,tertiary,0.165335357,0.855009794,0.713646472,0.022551211,0.712398767,0.040425718,0.24717553,0.266316861,0.103409268,0.819748223,0.076842502,State+AllSectors+edu_cat,17,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Meghalaya
81,below primary,0.007198544,0.661621153,0.656858444,0.072699748,0.149501398,0.264068097,0.58643049,0.328834802,0.63264823,0.143836647,0.223515138,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Assam
82,primary and middle,0.049050361,0.650458455,0.618553221,0.072525881,0.131565794,0.244425669,0.624008536,0.311276108,0.451895803,0.280308306,0.267795891,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Assam
83,secondary,0.078863472,0.539210618,0.496686578,0.053301308,0.272839189,0.078807116,0.648353696,0.201627269,0.306369334,0.501742125,0.191888556,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Assam
84,tertiary,0.152462214,0.748909473,0.634729087,0.026735933,0.638760269,0.004456241,0.356783479,0.408158869,0.101187527,0.777055144,0.121757299,State+AllSectors+edu_cat,18,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Assam
85,below primary,0.013053196,0.583503962,0.575887322,0.050994053,0.104055203,0.30789879,0.588046014,0.391665637,0.566049874,0.179221585,0.254728556,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,West Bengal
86,primary and middle,0.029282682,0.618931472,0.600807488,0.062037639,0.164422244,0.256855369,0.578722417,0.307114422,0.375430286,0.285389423,0.339180291,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,West Bengal
87,secondary,0.057954717,0.461659133,0.4349038,0.058853436,0.27797547,0.132720098,0.589304447,0.264776528,0.236866683,0.495978296,0.267155021,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,West Bengal
88,tertiary,0.088467382,0.681657434,0.621352971,0.044861067,0.571986735,0.014341723,0.413671553,0.313705087,0.066959992,0.774035633,0.159004375,State+AllSectors+edu_cat,19,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,West Bengal
89,below primary,0.004787373,0.544769347,0.542161345,0.135973707,0.05214278,0.212824389,0.735032856,0.503000736,0.620502174,0.08881513,0.290682733,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jharkhand
90,primary and middle,0.014850046,0.576680958,0.568117201,0.135131016,0.08850234,0.300732672,0.61076498,0.289622724,0.408059478,0.212229669,0.379710853,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jharkhand
91,secondary,0.027922092,0.45131278,0.438711166,0.096133664,0.261476338,0.143013448,0.595510244,0.206730351,0.32370162,0.391742617,0.284555763,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jharkhand
92,tertiary,0.098763332,0.653097928,0.588595808,0.069453701,0.500150144,0.041562103,0.458287776,0.391100943,0.116957746,0.682843208,0.200199038,State+AllSectors+edu_cat,20,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jharkhand
93,below primary,0.012029168,0.587117255,0.58005476,0.153117537,0.031927928,0.26898849,0.699083567,0.445654243,0.674034536,0.096630402,0.22933504,State+AllSectors+edu_cat,21,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Odisha
94,primary and middle,0.032982238,0.643467188,0.622244239,0.123582229,0.106794283,0.272379935,0.620825768,0.348700404,0.411972404,0.251423478,0.336604118,State+AllSectors+edu_cat,21,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Odisha
95,secondary,0.050969388,0.424061865,0.402447671,0.086759634,0.223624438,0.166222289,0.610153258,0.270362407,0.315299392,0.39809677,0.286603838,State+AllSectors+edu_cat,21,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Odisha
96,tertiary,0.211261377,0.72822988,0.57438302,0.053639859,0.578517854,0.020894663,0.400587469,0.478996068,0.101620704,0.734062791,0.164316535,State+AllSectors+edu_cat,21,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Odisha
97,below primary,0.032509632,0.64382261,0.622892141,0.220707238,0.060994189,0.218566552,0.720439255,0.216202945,0.743456721,0.085013568,0.171529695,State+AllSectors+edu_cat,22,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chhattisgarh
98,primary and middle,0.048684031,0.696133018,0.662242472,0.200165868,0.125064269,0.23921454,0.635721207,0.285439223,0.601310611,0.15550521,0.243184179,State+AllSectors+edu_cat,22,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chhattisgarh
99,secondary,0.068233512,0.520568073,0.485047907,0.14558278,0.245491594,0.131823272,0.622685134,0.198948026,0.466210455,0.296038836,0.237750724,State+AllSectors+edu_cat,22,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chhattisgarh
100,tertiary,0.150951892,0.706346154,0.599721849,0.087974116,0.548368871,0.023772117,0.427859038,0.369164705,0.177979201,0.639610827,0.182409972,State+AllSectors+edu_cat,22,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Chhattisgarh
101,below primary,0.025161354,0.651687086,0.635289729,0.195922941,0.045206308,0.214310288,0.740483403,0.344669193,0.770273626,0.079329528,0.150396824,State+AllSectors+edu_cat,23,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Madhya Pradesh
102,primary and middle,0.014965294,0.635838926,0.626323402,0.165162534,0.115744844,0.204317749,0.679937422,0.316227406,0.560297608,0.182933718,0.256768703,State+AllSectors+edu_cat,23,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Madhya Pradesh
103,secondary,0.030882061,0.47714594,0.462410688,0.129252434,0.221851215,0.096914448,0.68123436,0.175100222,0.438215405,0.35530898,0.206475616,State+AllSectors+edu_cat,23,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Madhya Pradesh
104,tertiary,0.075944684,0.637264788,0.588867903,0.105488218,0.490667284,0.022640273,0.486692458,0.336033404,0.206295133,0.631655574,0.162049264,State+AllSectors+edu_cat,23,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Madhya Pradesh
105,below primary,0.011826368,0.600057364,0.592960835,0.111500934,0.126799971,0.206376001,0.666824043,0.37796405,0.686648488,0.136443838,0.176907659,State+AllSectors+edu_cat,24,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Gujarat
106,primary and middle,0.018766299,0.665997148,0.653498828,0.124608077,0.281225294,0.124247849,0.594526887,0.299955785,0.419152141,0.25339666,0.327451199,State+AllSectors+edu_cat,24,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Gujarat
107,secondary,0.018055979,0.532470167,0.522855878,0.078003459,0.422813565,0.068237513,0.508948922,0.174786046,0.268245727,0.355047107,0.376707166,State+AllSectors+edu_cat,24,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Gujarat
