,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
2282,0,0,0,2015,State,urban/rural,Age,statesector,0,Chandigarh,NA,NA,65+,NA,NA,NA
2283,0.305400193,0.20489499,0.071210071,2015,State,urban/rural,Age,statesector,1,Chandigarh,NA,NA,15 to 29,NA,NA,NA
2284,0.119740576,0.045663923,0.013314473,2015,State,urban/rural,Age,statesector,1,Chandigarh,NA,NA,30 to 45,NA,NA,NA
2285,0.045993507,0.016112,0,2015,State,urban/rural,Age,statesector,1,Chandigarh,NA,NA,45 to 64,NA,NA,NA
2286,0.021677556,0,0,2015,State,urban/rural,Age,statesector,1,Chandigarh,NA,NA,65+,NA,NA,NA
2573,0.267594874,0.14862822,0.033957072,2015,State,All,Education,state,99,Chandigarh,NA,NA,NA,No education / Preschool,NA,NA
2574,0.17579551,0.084430352,0.035253324,2015,State,All,Education,state,99,Chandigarh,NA,NA,NA,Primary,NA,NA
2575,0.067632787,0.013241208,0.001724395,2015,State,All,Education,state,99,Chandigarh,NA,NA,NA,Secondary,NA,NA
2576,0.00540511,0,0,2015,State,All,Education,state,99,Chandigarh,NA,NA,NA,Higher,NA,NA
2772,0.678571403,0.5,0.142857149,2015,State,urban/rural,Education,statesector,0,Chandigarh,NA,NA,NA,No education / Preschool,NA,NA
2773,0.689655185,0.275862068,0.103448279,2015,State,urban/rural,Education,statesector,0,Chandigarh,NA,NA,NA,Primary,NA,NA
2774,0.421052635,0.052631579,0,2015,State,urban/rural,Education,statesector,0,Chandigarh,NA,NA,NA,Secondary,NA,NA
2775,0,0,0,2015,State,urban/rural,Education,statesector,0,Chandigarh,NA,NA,NA,Higher,NA,NA
2776,0.240289941,0.12528339,0.026721846,2015,State,urban/rural,Education,statesector,1,Chandigarh,NA,NA,NA,No education / Preschool,NA,NA
2777,0.138143182,0.070403464,0.030256437,2015,State,urban/rural,Education,statesector,1,Chandigarh,NA,NA,NA,Primary,NA,NA
2778,0.05426535,0.011751342,0.001789617,2015,State,urban/rural,Education,statesector,1,Chandigarh,NA,NA,NA,Secondary,NA,NA
2779,0.00542577,0,0,2015,State,urban/rural,Education,statesector,1,Chandigarh,NA,NA,NA,Higher,NA,NA
3086,0.118933864,0.05067933,0.013112864,2015,State,All,Gender,state,99,Chandigarh,NA,NA,NA,NA,1,NA
3087,0.039230339,0.024429491,0.013153116,2015,State,All,Gender,state,99,Chandigarh,NA,NA,NA,NA,2,NA
3166,0.597826064,0.260869563,0.076086953,2015,State,urban/rural,Gender,statesector,0,Chandigarh,NA,NA,NA,NA,1,NA
3167,0,0,0,2015,State,urban/rural,Gender,statesector,0,Chandigarh,NA,NA,NA,NA,2,NA
3168,0.097672328,0.041347444,0.010316983,2015,State,urban/rural,Gender,statesector,1,Chandigarh,NA,NA,NA,NA,1,NA
3169,0.039949041,0.02487704,0.013394081,2015,State,urban/rural,Gender,statesector,1,Chandigarh,NA,NA,NA,NA,2,NA
3318,0.164714158,0.081111722,0,2015,State,All,HH Size,state,99,Chandigarh,NA,NA,NA,NA,NA,1
3319,0.071142986,0.037041623,0.015398476,2015,State,All,HH Size,state,99,Chandigarh,NA,NA,NA,NA,NA,2 to 3
3320,0.11065048,0.044094957,0.008351632,2015,State,All,HH Size,state,99,Chandigarh,NA,NA,NA,NA,NA,4 to 6
3321,0.134762138,0.064458989,0.026327997,2015,State,All,HH Size,state,99,Chandigarh,NA,NA,NA,NA,NA,7+
3478,0.5,0.5,0,2015,State,urban/rural,HH Size,statesector,0,Chandigarh,NA,NA,NA,NA,NA,1
3479,1,1,0,2015,State,urban/rural,HH Size,statesector,0,Chandigarh,NA,NA,NA,NA,NA,2 to 3
3480,0.526315808,0.245614037,0,2015,State,urban/rural,HH Size,statesector,0,Chandigarh,NA,NA,NA,NA,NA,4 to 6
3481,0.611111104,0.194444448,0.194444448,2015,State,urban/rural,HH Size,statesector,0,Chandigarh,NA,NA,NA,NA,NA,7+
3482,0.145689338,0.057343125,0,2015,State,urban/rural,HH Size,statesector,1,Chandigarh,NA,NA,NA,NA,NA,1
3483,0.066564821,0.032295384,0.015474372,2015,State,urban/rural,HH Size,statesector,1,Chandigarh,NA,NA,NA,NA,NA,2 to 3
3484,0.094142027,0.03609148,0.008683324,2015,State,urban/rural,HH Size,statesector,1,Chandigarh,NA,NA,NA,NA,NA,4 to 6
3485,0.098190077,0.05447926,0.01342073,2015,State,urban/rural,HH Size,statesector,1,Chandigarh,NA,NA,NA,NA,NA,7+
10,0.418855041,0.178847924,0.037307687,2019,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
52,0.484485745,0.215176627,0.04576258,2019,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
53,0.187608942,0.050845772,0.007517346,2019,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
157,0.591005862,0.296135038,0.082887672,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
158,0.407899022,0.186406597,0.050377987,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
159,0.407250464,0.155935362,0.02363525,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
160,0.406276226,0.173985347,0.023196392,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,65+,NA,NA,NA
161,0.501131415,0.152981803,0,2019,State,All,Age,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
362,0.630478323,0.323287278,0.091570288,2019,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
363,0.467474014,0.224149436,0.061504617,2019,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
364,0.480557442,0.191459045,0.029891945,2019,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
365,0.473587871,0.209268317,0.029023655,2019,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,65+,NA,NA,NA
366,0.569111347,0.173734233,0,2019,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
367,0.407939613,0.170207724,0.04261924,2019,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
368,0.192303658,0.049819406,0.010111927,2019,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
369,0.165071473,0.038578302,0.002965452,2019,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
370,0.167705029,0.048932672,0.002542952,2019,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,65+,NA,NA,NA
371,0,0,0,2019,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
696,0.557875037,0.29320401,0.074019894,2019,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
697,0.485690117,0.211206734,0.047717355,2019,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Primary,NA,NA
698,0.326045603,0.102711201,0.010445114,2019,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
699,0.149089903,0.02759341,0.000604826,2019,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Higher,NA,NA
700,0.524794936,0.132473603,0,2019,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
903,0.602846444,0.322704166,0.082475074,2019,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
904,0.532117546,0.24015668,0.055463031,2019,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Primary,NA,NA
905,0.382242709,0.129342422,0.013824432,2019,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
906,0.247239843,0.043270387,0.000550348,2019,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Higher,NA,NA
907,0.636432946,0.199082807,0,2019,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
908,0.298599064,0.1231253,0.02527282,2019,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
909,0.272159576,0.078059264,0.012093222,2019,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Primary,NA,NA
910,0.155588031,0.021933112,0.00019493,2019,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
911,0.046720549,0.011242489,0.000661645,2019,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Higher,NA,NA
912,0.302767277,0,0,2019,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
1224,0.418485045,0.175570965,0.037671432,2019,State,All,Gender,state,99,Chhattisgarh,NA,NA,NA,NA,1,NA
1225,0.420978516,0.200528592,0.035030607,2019,State,All,Gender,state,99,Chhattisgarh,NA,NA,NA,NA,2,NA
1226,0.515882015,0.157484755,0,2019,State,All,Gender,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
1345,0.480598032,0.210888743,0.04553787,2019,State,urban/rural,Gender,statesector,0,Chhattisgarh,NA,NA,NA,NA,1,NA
1346,0.513148904,0.247405797,0.047631733,2019,State,urban/rural,Gender,statesector,0,Chhattisgarh,NA,NA,NA,NA,2,NA
1347,0.588211536,0.179565012,0,2019,State,urban/rural,Gender,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
1348,0.183059514,0.041706756,0.007855446,2019,State,urban/rural,Gender,statesector,1,Chhattisgarh,NA,NA,NA,NA,1,NA
1349,0.208555743,0.092491865,0.005989101,2019,State,urban/rural,Gender,statesector,1,Chhattisgarh,NA,NA,NA,NA,2,NA
1350,0,0,0,2019,State,urban/rural,Gender,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
1551,0.756289899,0.518479347,0.014418072,2019,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,1
1552,0.418958753,0.215610206,0.031281665,2019,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
1553,0.380885333,0.162038669,0.040492918,2019,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
1554,0.498698413,0.178426579,0.034654237,2019,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,7+
1718,0.834665954,0.587692499,0.017542958,2019,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,1
1719,0.49303934,0.264012694,0.039486889,2019,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
1720,0.444191903,0.197036043,0.04985337,2019,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
1721,0.560456753,0.207979754,0.041415587,2019,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,7+
1722,0.47186473,0.267306417,0.003077927,2019,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,1
1723,0.171335042,0.053818829,0.003854669,2019,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
1724,0.165911227,0.043195885,0.008707048,2019,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
1725,0.249132186,0.059001788,0.00733153,2019,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,7+
1966,0.566397965,0.367861927,0.090323038,2015,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
2007,0.652123809,0.441400111,0.110217102,2015,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
2008,0.276024371,0.118770704,0.022937141,2015,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
2107,0.76116538,0.571628451,0.201654121,2015,State,All,Age,state,99,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
2108,0.548383892,0.352042675,0.103085048,2015,State,All,Age,state,99,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
2109,0.548240483,0.349937558,0.066786997,2015,State,All,Age,state,99,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
2110,0.557487965,0.345673889,0.055137448,2015,State,All,Age,state,99,Chhattisgarh,NA,NA,65+,NA,NA,NA
2287,0.847453952,0.657549858,0.236677215,2015,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
2288,0.625124991,0.419699937,0.125742331,2015,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
2289,0.64396733,0.429479033,0.083582371,2015,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
2290,0.635141134,0.407139987,0.066403158,2015,State,urban/rural,Age,statesector,0,Chhattisgarh,NA,NA,65+,NA,NA,NA
2291,0.430693924,0.242563412,0.067521252,2015,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,15 to 29,NA,NA,NA
2292,0.302461684,0.135230139,0.030478209,2015,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,30 to 45,NA,NA,NA
2293,0.229528606,0.085113131,0.010868679,2015,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,45 to 64,NA,NA,NA
2294,0.247852817,0.100582965,0.010216372,2015,State,urban/rural,Age,statesector,1,Chhattisgarh,NA,NA,65+,NA,NA,NA
2577,0.727930546,0.537248611,0.166548669,2015,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
2578,0.616507351,0.419869959,0.118808754,2015,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Primary,NA,NA
2579,0.459606111,0.240200892,0.022065235,2015,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
2580,0.191596046,0.074101873,0.004576009,2015,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,Higher,NA,NA
2581,0.64817661,0.381013721,0.056831662,2015,State,All,Education,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
2780,0.775918663,0.590032816,0.186024383,2015,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
2781,0.679130852,0.481229365,0.138156891,2015,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Primary,NA,NA
2782,0.543176532,0.299485415,0.027873496,2015,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
2783,0.35316965,0.14595978,0.010586454,2015,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,Higher,NA,NA
2784,0.715178013,0.478013784,0.067866847,2015,State,urban/rural,Education,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
2785,0.45902583,0.241468772,0.057415158,2015,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,No education / Preschool,NA,NA
2786,0.364011854,0.172471091,0.0407978,2015,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Primary,NA,NA
2787,0.215722099,0.06719052,0.00511496,2015,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Secondary,NA,NA
2788,0.068583138,0.019393366,0,2015,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,Higher,NA,NA
2789,0.399186909,0.020543499,0.015822856,2015,State,urban/rural,Education,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
3088,0.561953545,0.364102006,0.090577483,2015,State,All,Gender,state,99,Chhattisgarh,NA,NA,NA,NA,1,NA
3089,0.605876982,0.401260436,0.088062905,2015,State,All,Gender,state,99,Chhattisgarh,NA,NA,NA,NA,2,NA
3170,0.646608412,0.435783952,0.109872527,2015,State,urban/rural,Gender,statesector,0,Chhattisgarh,NA,NA,NA,NA,1,NA
3171,0.70419538,0.4944233,0.113470271,2015,State,urban/rural,Gender,statesector,0,Chhattisgarh,NA,NA,NA,NA,2,NA
3172,0.267474681,0.114750624,0.023458119,2015,State,urban/rural,Gender,statesector,1,Chhattisgarh,NA,NA,NA,NA,1,NA
3173,0.339009225,0.148386374,0.019099137,2015,State,urban/rural,Gender,statesector,1,Chhattisgarh,NA,NA,NA,NA,2,NA
3322,0.779748559,0.692692101,0.059243742,2015,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,1
3323,0.587994933,0.412540495,0.088311456,2015,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
3324,0.527398407,0.343150765,0.091030039,2015,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
3325,0.625441909,0.385866493,0.09078937,2015,State,All,HH Size,state,99,Chhattisgarh,NA,NA,NA,NA,NA,7+
3486,0.899236262,0.847741723,0.074051537,2015,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,1
3487,0.70754689,0.511884212,0.110360309,2015,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
3488,0.608696342,0.41451627,0.11115706,2015,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
3489,0.702275753,0.450784236,0.109434709,2015,State,urban/rural,HH Size,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,7+
3490,0.452683598,0.268286169,0.018711463,2015,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,1
3491,0.249703795,0.131431714,0.025920726,2015,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,2 to 3
3492,0.264107943,0.112027198,0.025846891,2015,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,4 to 6
3493,0.311683893,0.120769218,0.014649469,2015,State,urban/rural,HH Size,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,7+
11,0.336470813,0.142684564,0.024120146,2019,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
54,0.473805785,0.221954927,0.033448994,2019,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
55,0.177758858,0.051075306,0.013339214,2019,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
162,0.321242183,0.117979847,0.016007978,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
163,0.296666563,0.118338503,0.025721375,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,30 to 45,NA,NA,NA
164,0.366943121,0.159679279,0.028135628,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,45 to 64,NA,NA,NA
165,0.457581013,0.248140126,0.01578062,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,65+,NA,NA,NA
166,0,0,0,2019,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
372,0.415066242,0.190959841,0.037298258,2019,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
373,0.387064278,0.167830899,0.02521925,2019,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,30 to 45,NA,NA,NA
374,0.541006267,0.249727502,0.04446185,2019,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,45 to 64,NA,NA,NA
375,0.654600203,0.375421911,0.024267573,2019,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,65+,NA,NA,NA
376,0,0,0,2019,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
377,0.250696689,0.06310682,0,2019,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
378,0.205685452,0.068526678,0.02622674,2019,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,30 to 45,NA,NA,NA
379,0.101492204,0.02235336,0.003237702,2019,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,45 to 64,NA,NA,NA
380,0.091243982,0.011472695,0,2019,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,65+,NA,NA,NA
381,0,0,0,2019,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
701,0.613959491,0.329290807,0.047891546,2019,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,No education / Preschool,NA,NA
702,0.46142745,0.208730564,0.047342025,2019,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Primary,NA,NA
703,0.198101029,0.048182134,0.007202024,2019,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Secondary,NA,NA
704,0.075663276,0.007114796,0,2019,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Higher,NA,NA
705,0,0,0,2019,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
913,0.654045343,0.369354427,0.053460442,2019,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,No education / Preschool,NA,NA
914,0.546192229,0.248496741,0.052490719,2019,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Primary,NA,NA
915,0.285954714,0.079364352,0.004008302,2019,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Secondary,NA,NA
916,0.10354583,0.022641692,0,2019,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Higher,NA,NA
917,0,0,0,2019,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
918,0.454265505,0.169685468,0.025706174,2019,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,No education / Preschool,NA,NA
919,0.288187891,0.127457723,0.03681929,2019,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Primary,NA,NA
920,0.135581613,0.025991891,0.009474776,2019,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Secondary,NA,NA
921,0.068917736,0.003358422,0,2019,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,Higher,NA,NA
922,0,0,0,2019,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1227,0.327903867,0.134812593,0.024163062,2019,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,1,NA
1228,0.404514581,0.203354388,0.024066677,2019,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,2,NA
1229,0,0,0,2019,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1351,0.460067481,0.20928897,0.032856375,2019,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,1,NA
1352,0.569867849,0.309172094,0.037674312,2019,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,2,NA
1353,0,0,0,2019,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1354,0.17906411,0.050938942,0.014372842,2019,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,1,NA
1355,0.169819608,0.053161524,0.004752617,2019,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,2,NA
1356,0,0,0,2019,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1555,0.264412224,0.087507121,0,2019,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,1
1556,0.21231389,0.080350392,0.006203762,2019,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,2 to 3
1557,0.301275283,0.131349191,0.026839361,2019,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,4 to 6
1558,0.580106318,0.248760983,0.038201232,2019,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,7+
1726,0.401220411,0.185438827,0,2019,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,1
1727,0.320606142,0.177235723,0.017148754,2019,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,2 to 3
1728,0.402088702,0.194707498,0.035456289,2019,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,4 to 6
1729,0.693277001,0.299037069,0.039229807,2019,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,7+
1730,0.197912216,0.039904267,0,2019,State,urban/rural,HH Size,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,1
1731,0.150932461,0.025434541,0,2019,State,urban/rural,HH Size,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,2 to 3
1732,0.19007583,0.061463594,0.0173347,2019,State,urban/rural,HH Size,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,4 to 6
1733,0.177355945,0.069839142,0.034540739,2019,State,urban/rural,HH Size,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,7+
1967,0.418570429,0.243598327,0.063525841,2015,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2009,0.643835306,0.460197479,0.124827065,2015,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2010,0.225182191,0.05764953,0.01089919,2015,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2111,0.472226977,0.221206561,0.039425932,2015,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
2112,0.384814322,0.23957032,0.060088217,2015,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,30 to 45,NA,NA,NA
2113,0.423917055,0.247280136,0.070334241,2015,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,45 to 64,NA,NA,NA
2114,0.466457933,0.276472658,0.086400591,2015,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,65+,NA,NA,NA
2295,0.710370123,0.566997528,0.112423711,2015,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,15 to 29,NA,NA,NA
